ReportID,CandidateID,GroupID,Report Name,Election Cycle,Filing Due Date,Filed Date,Amended,Superseded
47321,6010,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47322,,805,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47323,3900,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47324,,1015,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47325,2014,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47326,268,,"CE Report 1 (Amended)","2014",5/20/2014,"06/06/2014",T,F
47327,,1836,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47328,6225,,"CE Report 1 (Amended)","2014",5/20/2014,"06/06/2014",T,F
47329,5093,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47330,6299,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47331,4008,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47332,6531,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47333,6076,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47334,6035,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47335,6319,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47336,3495,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,T
47337,,1174,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47338,,1703,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47339,,2376,"CE Report 2","2014",6/6/2014,"06/06/2014",F,T
47340,,2248,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47341,,1182,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47342,4868,,"CE Report 1 (Amended)","2014",5/20/2014,"06/06/2014",T,F
47343,,2370,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47344,,2256,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47345,,2397,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47346,1703,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47347,5212,,"CE Report 3","2014",10/14/2014,"06/06/2014",F,F
47348,5801,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,T
47349,5212,,"CE Report 4","2014",10/31/2014,"06/06/2014",F,F
47350,,2339,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47351,5317,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47352,,1036,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47353,5212,,"CE Report 5","2014",1/15/2015,"06/06/2014",F,F
47354,6529,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47355,5801,,"CE Report 2 (Amended)","2014",6/6/2014,"06/06/2014",T,F
47356,844,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47357,,784,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47358,10966,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47359,,1722,"CE Report 2","2014",6/6/2014,"06/06/2014",F,T
